1737879374.1980958 CAN1, ID=0x1da, DLC=8, 0x1, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x7f
1737879374.2007167 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737879374.2027164 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x1, 0x87
1737879374.2047126 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737879374.205713 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xf0
1737879374.2067118 CAN1, ID=0x54a, DLC=8, 0xa0, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737879374.2077074 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x2f
1737879374.2087042 CAN1, ID=0x54f, DLC=8, 0x2e, 0x0, 0x0, 0x0, 0x4, 0xc0, 0xce, 0x1e
1737879374.2106957 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x0, 0xc
1737879374.2116928 CAN1, ID=0x54b, DLC=8, 0x10, 0x8, 0x80, 0x0, 0x4, 0x0, 0x0, 0x0
1737879374.212697 CAN1, ID=0x1da, DLC=8, 0x1, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x3, 0x58
1737879374.2146852 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737879374.2156844 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737879374.2182245 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x75
1737879374.2196352 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x57
1737879374.2207336 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x60, 0x16
1737879374.221959 CAN1, ID=0x1da, DLC=8, 0x1, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x0, 0x52
1737879374.222936 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737879374.223978 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737879374.2250874 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x2, 0x88
1737879374.2262251 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x7f
