1737879374.4069493 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737879374.4100127 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x3, 0x0, 0x14
1737879374.4130747 CAN0, ID=0x7bb, DLC=8, 0x23, 0x0, 0x0, 0x0, 0x0, 0x3, 0xbd, 0x0
1737879374.4172714 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xba
1737879374.418282 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737879374.4192767 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0x1f, 0xff
1737879374.4240904 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xb0
1737879374.4250937 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737879374.4271271 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0xa0, 0x6
1737879374.429097 CAN0, ID=0x7bb, DLC=8, 0x24, 0x5c, 0x24, 0xe2, 0x0, 0xf, 0x17, 0x48
1737879374.437065 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x35
1737879374.4380622 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737879374.4390593 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x0, 0xc
1737879374.4460416 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x3f
1737879374.44804 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737879374.449036 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x60, 0x16
1737879374.453024 CAN0, ID=0x7bb, DLC=8, 0x25, 0x0, 0x7, 0x4f, 0xff, 0x80, 0x0, 0x0
1737879374.4550166 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xba
