1737880061.0234756 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880061.0344465 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x6b, 0x10, 0x0, 0x0, 0x8d
1737880061.0364397 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880061.0442379 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x6b, 0x10, 0x0, 0x1, 0x8
1737880061.0452406 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880061.057208 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x6b, 0x10, 0x0, 0x2, 0x2
1737880061.0582073 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880061.0592053 CAN0, ID=0x55b, DLC=8, 0x29, 0x0, 0x55, 0x0, 0x0, 0x0, 0x32, 0x4e
1737880061.0676847 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x3, 0xc7
1737880061.069702 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880061.0852098 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x0, 0xcd
1737880061.0862072 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880061.0951793 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x1, 0x48
1737880061.0959609 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880061.105194 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x2, 0x42
1737880061.1061924 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
1737880061.1158986 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x3, 0xc7
1737880061.1168916 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880061.132589 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x0, 0xcd
1737880061.1345804 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880061.1418717 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x1, 0x48
1737880061.1429744 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880061.1555092 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x2, 0x42
1737880061.1565065 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
1737880061.1646776 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x3, 0xc7
1737880061.1676702 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880061.1732423 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x0, 0xcd
1737880061.1746926 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880061.1766942 CAN0, ID=0x55b, DLC=8, 0x29, 0x0, 0x55, 0x0, 0x0, 0x0, 0x33, 0xcb
1737880061.194645 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x1, 0x48
1737880061.1966395 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880061.2036202 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x2, 0x42
1737880061.20462 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
1737880061.213595 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x3, 0xc7
1737880061.2155936 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880061.223577 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x0, 0xcd
1737880061.2255647 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880061.2365344 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x1, 0x48
1737880061.2375307 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880061.2452526 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x2, 0x42
1737880061.247258 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
1737880061.2492492 CAN0, ID=0x59e, DLC=8, 0x0, 0x0, 0xc, 0x1, 0x10, 0x0, 0x0, 0x0
1737880061.251242 CAN0, ID=0x5c0, DLC=8, 0x80, 0x0, 0x3c, 0x0, 0xb1, 0xc0, 0x1, 0xd
1737880061.258971 CAN0, ID=0x7bb, DLC=8, 0x10, 0x29, 0x61, 0x1, 0x0, 0x0, 0x8, 0x68
1737880061.2679436 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x3, 0xc7
1737880061.2689464 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880061.2759254 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x0, 0xcd
1737880061.2761645 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880061.2796597 CAN0, ID=0x7bb, DLC=8, 0x21, 0x2, 0x89, 0xff, 0xff, 0xfd, 0xbc, 0xff
1737880061.2836592 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x1, 0x48
1737880061.2846832 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880061.2927768 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x6b, 0x10, 0x0, 0x2, 0x42
1737880061.2937777 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
