1737879739.7723844 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x1c
1737879739.773386 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0x40, 0x6
1737879739.7803626 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879739.7813592 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x7e
1737879739.7829738 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0xa0, 0xb
1737879739.789958 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
1737879739.7919514 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xbf
1737879739.792949 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x3, 0x0, 0x14
1737879739.8004854 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x0, 0x0
1737879739.8013277 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x64
1737879739.8023307 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0x1f, 0xff
1737879739.8205364 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
1737879739.8225284 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x1c
1737879739.8235276 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0xa0, 0x6
1737879739.8307762 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879739.8317811 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x7e
1737879739.833886 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x1, 0x0, 0xc
1737879739.8368783 CAN0, ID=0x55b, DLC=8, 0xf7, 0x0, 0xaa, 0x0, 0xce, 0x80, 0x12, 0x70
1737879739.8519468 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
1737879739.8529446 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xbf
1737879739.8539417 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x1, 0x60, 0x16
1737879739.8609378 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x0, 0x0
1737879739.8619223 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x64
1737879739.8629901 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0x40, 0x6
1737879739.8689783 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
1737879739.869977 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x1c
1737879739.870975 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0xa0, 0xb
1737879739.878954 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879739.879949 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x7e
1737879739.8809516 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x3, 0x0, 0x14
1737879739.8884895 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
1737879739.8894942 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xbf
1737879739.8914883 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0x1f, 0xff
1737879739.898655 CAN0, ID=0x59e, DLC=8, 0x0, 0x0, 0xc, 0x6, 0x50, 0x0, 0x0, 0x0
1737879739.8996534 CAN0, ID=0x5c0, DLC=8, 0x40, 0x52, 0x52, 0x0, 0x6e, 0x1c, 0x1, 0xf
1737879739.9006515 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x0, 0x0
1737879739.9016469 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x64
1737879739.9026437 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0xa0, 0x6
1737879739.9131525 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
1737879739.9147594 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x1c
1737879739.9157631 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x0, 0xc
1737879739.9219334 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879739.922932 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x7e
1737879739.9249241 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x1, 0x60, 0x16
1737879739.9309168 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
1737879739.9319122 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xbf
1737879739.932952 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0x40, 0x6
1737879739.9408927 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x0, 0x0
1737879739.9418871 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x64
1737879739.9428852 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0xa0, 0xb
1737879739.9458752 CAN0, ID=0x55b, DLC=8, 0xf7, 0x0, 0xaa, 0x0, 0xce, 0x80, 0x13, 0xf5
1737879739.9528582 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
1737879739.9538558 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x1c
1737879739.9558535 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x3, 0x0, 0x14
1737879739.962829 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879739.9638271 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x7e
1737879739.964825 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0x1f, 0xff
1737879739.9791977 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
1737879739.98023 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xbf
1737879739.981189 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0xa0, 0x6
1737879739.9893756 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x0, 0x0
1737879739.990369 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x64
