1737879739.6494865 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x40, 0x0, 0x2, 0xe
1737879739.6505225 CAN1, ID=0x5a9, DLC=8, 0x74, 0x1d, 0x60, 0x10, 0x43, 0xa0, 0x0, 0x0
1737879739.654475 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x0, 0xc7
1737879739.6554708 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xfe, 0x84
1737879739.65747 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x3, 0x89
1737879739.6584654 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc7, 0x46, 0x21, 0xc
1737879739.659461 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0x80, 0x0, 0x3, 0x18
1737879739.6638887 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x1, 0xe0
1737879739.6655293 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x0, 0x86
1737879739.666506 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x7, 0x46, 0x21, 0xc0
1737879739.6675482 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0xc0, 0x0, 0x0, 0xd5
1737879739.6725185 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x2, 0xea
1737879739.6745121 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xff, 0x85
1737879739.675508 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x1, 0x87
1737879739.676505 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x47, 0x46, 0x21, 0x7
1737879739.677591 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x0, 0x0, 0x1, 0xc3
1737879739.6825902 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x3, 0x0, 0x80, 0x0, 0xd8
1737879739.6835895 CAN1, ID=0x393, DLC=8, 0x0, 0x20, 0x0, 0x0, 0x20, 0x0, 0x0, 0x14
1737879739.684586 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x3, 0xcd
1737879739.6855826 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x2, 0x88
1737879739.6862814 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x87, 0x46, 0x21, 0xcb
1737879739.687284 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x40, 0x0, 0x2, 0xe
1737879739.693273 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x0, 0xc7
1737879739.6942914 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x86
1737879739.6952937 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x3, 0x89
1737879739.6962898 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc7, 0x46, 0x21, 0xc
1737879739.697292 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0x80, 0x0, 0x3, 0x18
1737879739.7034094 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x1, 0xe0
1737879739.7044055 CAN1, ID=0x54a, DLC=8, 0x12, 0x80, 0x70, 0x6, 0x2e, 0x0, 0x0, 0x2a
1737879739.7054002 CAN1, ID=0x54b, DLC=8, 0x10, 0x49, 0x90, 0x12, 0x1c, 0x0, 0x0, 0x0
1737879739.7063994 CAN1, ID=0x54f, DLC=8, 0x2f, 0x4c, 0x0, 0x0, 0x4, 0x80, 0xce, 0x1c
1737879739.7083964 CAN1, ID=0x54c, DLC=8, 0x71, 0xff, 0x40, 0x0, 0x0, 0x68, 0x54, 0x0
1737879739.7093928 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x0, 0x86
1737879739.71039 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x7, 0x46, 0x21, 0xc0
1737879739.7113872 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0xc0, 0x0, 0x0, 0xd5
1737879739.7123828 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x2, 0xea
1737879739.7133842 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x1, 0x87
1737879739.7153776 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x1, 0x87
1737879739.7163706 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x47, 0x46, 0x21, 0x7
1737879739.7173736 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x0, 0x0, 0x1, 0xc3
1737879739.7223604 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x3, 0xcd
1737879739.7233534 CAN1, ID=0x56e, DLC=1, 0x46, 0x72, 0x18, 0x0, 0x0, 0x1, 0x3, 0xcd
1737879739.7253482 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x2, 0x88
1737879739.7273462 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x87, 0x46, 0x21, 0xcb
1737879739.728341 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x40, 0x0, 0x2, 0xe
1737879739.7323318 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x0, 0xc7
